2001,Paris 1919: Six Months that Changed the World,Margaret MacMillan/Richard Holbrooke,4.08,375760520,9.78038E+12,eng,570,9679,640,09/09/03,Random House Trade,{}
2002,Shadowmarch (Shadowmarch  #1),Tad Williams,3.73,756403596,9.78076E+12,eng,796,9677,377,09/05/06,DAW,"{'Fairies', 'Magic'}"
2003,Das Parfum. Die Geschichte eines Mörders,Patrick Süskind,4.02,3257228007,9.78326E+12,ger,321,9674,343,06/01/94,Diogenes,{'Perfumes'}
2004,The Rocky Road to Romance (Elsie Hawkins #4),Janet Evanovich,3.67,60598891,9.78006E+12,eng,249,9669,315,11/29/2011,Harper,{}
2005,Please Stop Laughing at Me... One Woman's Inspirational Story,Jodee Blanco,3.85,1580628362,9.78158E+12,en-US,288,9662,897,03/01/03,Adams Media,
2006,The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932,William Manchester,4.42,385313489,9.78039E+12,eng,992,9659,467,04/01/84,Delta,{}
2007,The Lilac Bus,Maeve Binchy,3.62,99498642,9.7801E+12,eng,196,9649,297,01/12/07,Dell,"{'Buses', 'Buses'}"
2008,I Love Everybody (and Other Atrocious Lies),Laurie Notaro,3.97,812969006,9.78081E+12,en-US,228,9648,587,06/08/04,Villard Books,{}
2009,Desolation Angels,Jack Kerouac/Joyce Johnson,3.93,1573225053,9.78157E+12,eng,432,9646,273,09/01/95,Riverhead Books,{}
2010,The Favored Child (The Wideacre Trilogy  #2),Philippa Gregory,3.62,743249305,9.78074E+12,eng,624,9643,451,07/02/03,Washington Square Press,"{'Fiction', 'History'}"
2011,Too Busy Not to Pray: Slowing Down to Be With God,Bill Hybels/Lavonne Neff,4.16,830819711,9.78083E+12,en-US,191,9632,212,04/01/98,InterVarsity Press,{}
2012,The Grass Crown (Masters of Rome  #2),Colleen McCullough,4.3,038071082X,9.78038E+12,eng,1104,9623,199,07/01/92,Avon,"{'Rome', 'Fiction'}"
2013,Trouble Is My Business,Raymond Chandler,4.06,394757645,9.78039E+12,eng,224,9606,258,08/12/88,Vintage Crime/Black Lizard,{'Fiction'}
2014,The Sigma Protocol,Robert Ludlum,3.8,312982518,9.78031E+12,eng,662,9567,252,10/13/2002,St. Martin's Paperbacks,{'Fiction'}
2015,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78159E+12,eng,803,9564,726,07/01/03,Barnes & Noble Classics,"{'morals', 'Adultery', 'morals', 'Romance', 'love', 'marriage', 'Youth', 'Novela', 'History'}"
